Loop,Duration(s),SuccessRate(%),SystemsOperational,ErrorsFound
1,.137653000,100,5,0
0
2,.142002000,100,5,0
0
3,.168739000,100,5,0
0
4,.146698000,100,5,0
0
5,.145148000,100,5,0
0
6,.149134000,100,5,0
0
7,.136026000,100,5,0
0
8,.147346000,100,5,0
0
9,.132940000,100,5,0
0
10,.142416000,100,5,0
0
11,.143362000,100,5,0
0
12,.135734000,100,5,0
0
13,.181179000,100,5,0
0
14,.129533000,100,5,0
0
15,.138586000,100,5,0
0
16,.146841000,100,5,0
0
17,.137990000,100,5,0
0
18,.127515000,100,5,0
0
19,.130978000,100,5,0
0
20,.141373000,100,5,0
0
21,.135017000,100,5,0
0
22,.137843000,100,5,0
0
23,.137421000,100,5,0
0
24,.142847000,100,5,0
0
25,.156114000,100,5,0
0
26,.129158000,100,5,0
0
27,.134964000,100,5,0
0
28,.155338000,100,5,0
0
29,.134469000,100,5,0
0
30,.136634000,100,5,0
0
31,.136582000,100,5,0
0
32,.131692000,100,5,0
0
33,.136862000,100,5,0
0
34,.155057000,100,5,0
0
35,.137606000,100,5,0
0
36,.127686000,100,5,0
0
37,.140165000,100,5,0
0
38,.143700000,100,5,0
0
39,.128003000,100,5,0
0
40,.142208000,100,5,0
0
41,.187028000,100,5,0
0
42,.139285000,100,5,0
0
43,.136154000,100,5,0
0
44,.133208000,100,5,0
0
45,.128951000,100,5,0
0
46,.143378000,100,5,0
0
47,.136690000,100,5,0
0
48,.124191000,100,5,0
0
49,.150594000,100,5,0
0
50,.142413000,100,5,0
0
